10, -114.650314 -6.275299 0. -155.060822 -212.454712 -280.943298 142.510208 206.847015 202.231964 -92.791824 -36.097809 -7.579712 101.760818 43.28405 64.897552 623.161987 209.775833 0. 204.154251 -28.563332 202.42482 215.397415 -2.347488 250.72963 -215.071304 -633.594299 -1032.793579 -207.773315 -618.03717 -956.112488 87.628418 25.581787 0. 35.196289 -20.07251 -142.925293 15.967285 -22.762939 -141.397705 -18.757812 -37.186035 33.689453 -31.574707 -115.484863 -49.690186;
11, -116.608444 -6.272522 0. -155.176422 -217.678314 -285.376434 142.631378 210.72345 204.583771 -91.272606 -35.832314 -9.811684 103.324249 44.554283 61.868046 617.562256 209.721863 0. 204.315887 -25.158836 204.135468 215.127838 11.538544 260.69632 -210.260239 -629.204041 -1031.448242 -202.907745 -612.241089 -956.277039 88.538574 26.070312 0. 33.775391 -11.482422 -145.182617 18.365479 -22.550049 -149.632568 -18.871094 -25.9375 20.875244 -31.446045 -119.607178 -51.175293;
12, -116.668526 -6.792046 0. -155.680817 -231.161499 -288.032196 142.09671 214.898132 204.006989 -92.224068 -38.047531 -6.977989 102.527634 38.088478 62.14711 617.252136 210.133652 0. 204.488419 -15.651093 208.418289 215.778885 19.740891 261.908691 -208.862717 -627.986206 -1027.794556 -201.792236 -609.484192 -943.250244 77.009277 22.013916 0. 30.05542 -2.589355 -156.706299 13.972412 -15.507812 -161.125732 -19.94458 -30.65918 31.865723 -30.021729 -121.613037 -52.366943;
13, -116.122452 -6.464661 0. -155.389435 -243.048004 -288.40567 142.460129 226.543625 197.30481 -91.246384 -36.977165 -11.393768 103.485512 36.16708 59.040146 622.107971 209.94899 0. 204.506058 -8.185577 209.870132 215.391922 21.764725 261.908081 -214.116501 -633.320007 -1035.498657 -206.733093 -613.765076 -941.687683 79.664062 23.91626 0. 31.52124 3.751465 -172.022461 16.311035 -12.576904 -168.499512 -17.898193 -27.360107 21.695801 -28.415771 -120.996338 -57.032471;
14, -115.151711 -8.598145 0. -157.544678 -259.78595 -302.798126 140.348389 242.665741 197.618347 -96.77784 -48.205032 -12.407578 98.001175 30.020496 54.337105 624.004395 210.279831 0. 203.941849 -3.209122 198.564804 216.617844 33.244934 267.85321 -214.528564 -634.367615 -1033.258667 -207.409744 -613.448364 -944.119446 71.839844 19.594971 0. 20.932129 12.200195 -181.486328 18.257812 -7.595215 -178.608643 -21.262451 -32.775635 32.713379 -31.209229 -127.618896 -59.651123;
15, -122.046455 -10.086418 0. -158.92569 -276.560425 -324.01886 138.752869 259.756653 200.476425 -92.858887 -54.559097 -12.948967 101.948563 31.806656 45.704689 623.685791 210.405319 0. 203.505173 7.781601 187.136185 217.305466 38.263702 274.225586 -214.902084 -635.63446 -1033.839966 -206.61261 -609.863159 -945.359314 57.450684 17.673584 0. 13.565186 23.397461 -187.139648 21.781738 -16.044922 -190.436768 -20.121338 -34.055664 34.253174 -21.870117 -127.571045 -63.6521;
16, -125.527649 -9.993736 0. -158.878128 -302.416718 -345.281067 138.890656 281.812927 214.931335 -89.293625 -54.434128 -19.589485 105.37355 33.298805 41.934853 619.945984 210.50441 0. 203.810104 36.315308 181.350021 217.198715 49.965622 283.237244 -212.316986 -633.530945 -1034.878418 -203.292297 -601.719299 -948.613586 49.74292 16.796875 0. 11.349121 27.793701 -196.947021 22.244873 -15.348633 -189.233887 -21.18335 -29.477783 19.925293 -15.810059 -136.521729 -60.607422;
17, -126.165794 -8.739868 0. -157.731583 -317.965149 -368.710388 140.251846 302.68811 238.831146 -86.152832 -49.582237 -22.02948 108.573364 33.730274 44.166817 618.476013 210.618454 0. 204.75206 49.338974 179.311295 216.484848 79.620468 314.125122 -211.172791 -632.345154 -1035.942505 -202.417297 -599.405151 -941.933777 45.254883 16.162109 0. 11.686768 31.540771 -198.032227 20.637207 -22.96875 -196.753662 -19.807129 -25.027344 6.881836 -12.681641 -136.949219 -62.966797;
18, -121.998825 -8.439281 0. -157.468689 -336.522369 -405.959198 140.590118 320.43042 260.645782 -89.96402 -49.011646 -20.802418 104.902527 33.229866 45.349945 624.32373 210.661026 0. 205.003616 54.853516 167.759567 216.318436 104.939514 330.05719 -215.535324 -636.306519 -1039.719604 -207.862656 -607.603394 -939.701843 44.852539 15.876709 0. 11.547852 40.615234 -186.961914 20.205566 -22.50293 -204.893066 -19.091064 -25.413086 12.356934 -13.237793 -130.43457 -64.45874;
19, -121.998825 -8.439281 0. -157.468689 -336.522369 -405.959198 140.590118 320.43042 260.645782 -89.96402 -49.011646 -20.802418 104.902527 33.229866 45.349945 624.32373 210.661026 0. 205.003616 54.853516 167.759567 216.318436 104.939514 330.05719 -215.535324 -636.306519 -1039.719604 -207.862656 -607.603394 -939.701843 44.852539 15.876709 0. 11.547852 40.615234 -186.961914 20.205566 -22.50293 -204.893066 -19.091064 -25.413086 12.356934 -13.237793 -130.43457 -64.45874;
